Description,Test,Project_name,File,Label
"onLinksUpdated function
should not pass when source and target default ports are both in ports
","
      jest.useFakeTimers();
      const { component } = setup(false, false);
      const { showWarning, updateLoading } = component.props();
      const instance = component.dive().instance();
      const sourcePort = new DefaultDataPortModel(true, '');
      const targetPort = new DefaultDataPortModel(true, '');
      instance.onLinksUpdated({
        link: { sourcePort, targetPort }
      });
      expect(showWarning).toHaveBeenCalledTimes(1);
      expect(updateLoading).toHaveBeenCalledWith(false);
      expect(setTimeout).not.toHaveBeenCalled();
    
",Sean2108/LATTE,https://github.com/Sean2108/LATTE/blob/master/test/components/BuildDiagram.spec.js,-
"with decode = false
decodes by default to utf-8
","

        needle.get('http://localhost:' + port, { decode: false }, function (err, resp) {
          resp.body.should.be.a.String;
          chardet.detect(resp.body).encoding.should.eql('ISO-8859-2');
          resp.body.should.eql('Magyarországi Fióktelepe')
          done();
        })

      
",charliebarber/bloglist,https://github.com/charliebarber/bloglist/blob/master/node_modules/needle/test/decoder_spec.js,0
"authenticate()
errors on a stale timestamp
","

            var req = {
                method: 'GET',
                url: '/resource/4?filter=a',
                host: 'example.com',
                port: 8080,
                authorization: 'Hawk id=""123456"", ts=""1362337299"", nonce=""UzmxSs"", ext=""some-app-data"", mac=""wnNUxchvvryMH2RxckTdZ/gY3ijzvccx4keVvELC61w=""'
            };

            Hawk.server.authenticate(req, credentialsFunc, {}, function (err, credentials, artifacts) {

                expect(err).to.exist();
                expect(err.output.payload.message).to.equal('Stale timestamp');
                var header = err.output.headers['WWW-Authenticate'];
                var ts = header.match(/^Hawk ts\=\""(\d+)\""\, tsm\=\""([^\""]+)\""\, error=\""Stale timestamp\""$/);
                var now = Hawk.utils.now();
                expect(parseInt(ts[1], 10) * 1000).to.be.within(now - 1000, now + 1000);

                var res = {
                    headers: {
                        'www-authenticate': header
                    }
                };

                expect(Hawk.client.authenticate(res, credentials, artifacts)).to.equal(true);
                done();
            });
        
",xrgonzalezx/TodoJestTestDaily,https://github.com/xrgonzalezx/TodoJestTestDaily/blob/master/node_modules/hawk/test/server.js,-
"if response contains cookies
must decode it
","
      needle.get(
        'localhost:' + ALL_COOKIES_TEST_PORT, function(error, response) {
          response.cookies.wc.should.be.eql(WEIRD_COOKIE_VALUE);
          response.cookies.bc.should.be.eql(BASE64_COOKIE_VALUE);
          response.cookies.fc.should.be.eql(FORBIDDEN_COOKIE_VALUE);
          response.cookies.nc.should.be.eql(NUMBER_COOKIE_VALUE.toString());
          done();
        });
    
",DemetriusLeonardoBantim/tdd-jest,https://github.com/DemetriusLeonardoBantim/tdd-jest/blob/master/node_modules/needle/test/cookies_spec.js,-
"authenticate()
errors on an missing authorization attribute (mac)
","

            var req = {
                method: 'GET',
                url: '/resource/4?filter=a',
                host: 'example.com',
                port: 8080,
                authorization: 'Hawk id=""123"", ts=""1353788437"", nonce=""k3j4h2"", ext=""hello""'
            };

            Hawk.server.authenticate(req, credentialsFunc, { localtimeOffsetMsec: 1353788437000 - Hawk.utils.now() }, function (err, credentials, artifacts) {

                expect(err).to.exist();
                expect(err.output.payload.message).to.equal('Missing attributes');
                done();
            });
        
",lexblagus/react-class-expensify,https://github.com/lexblagus/react-class-expensify/blob/master/node_modules/fsevents/node_modules/hawk/test/server.js,-
"()
passes when the actual matches the expected
","
      expect(wrapper.find('#parent')).to.exist
    
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/exist.test.js,-
"ComputerAI: determineAttackType() (AI chooses correct attack)
getSearchAttack() is chosen if more than one ship hit exists
","
    const size = 8;
    const newGameboardPlayer = Gameboard(0, size);
    const computerAI = ComputerAI(0);
    newGameboardPlayer.grid[3][3] = 'H';
    newGameboardPlayer.grid[3][4] = 'H';
    const AIAttack = computerAI.determineAttackType(newGameboardPlayer);
    expect(AIAttack).toBe('alignment');
  
",martink-rsa/Battleships,https://github.com/martink-rsa/Battleships/blob/master/src/specs/computerAI.test.js,-
"Package
should follow keywords
","
    let matchedKeyword;
    cy.visit(VISIT_URL); // direct visit
    cy.getByTestId(""keywords-list"")
      .find(""a:first"")
      .then(el => {
        matchedKeyword = Cypress.$(el).text();
        console.log({ matchedKeyword });
        return el;
      })
      .click() // click on first keyword
      .then(() =>
        cy.url().should(url => {
          expect(decodeURIComponent(url)).to.include(
            `/search?q=keywords:""${matchedKeyword}""`
          );
        })
      );
  
",topheman/npm-registry-browser,https://github.com/topheman/npm-registry-browser/blob/master/cypress/integration/package.spec.js,-
"HAS_POSITIVE_NUMERIC_VALUE attrs
passes when attribute exists with a string value
","
        expect(wrapper.find('tr')).to.have.attr('cols')
      
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/attr.test.js,1
"(name, value)
passes when the actual matches the expected
","
      expect(wrapper).to.have.style('border', '1px')
      expect(wrapper.find('span')).to.have.style('color', 'red')
    
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/style.test.js,-
"passing connection: keep-alive
sends a Connection: keep-alive header (using options.headers.connection)
","
        send_request({ headers: { connection: 'keep-alive' }}, function(err, resp) {
          resp.body.headers['connection'].should.eql('keep-alive');
          done();
        })
      
",ivansoares90/users-api,https://github.com/ivansoares90/users-api/blob/master/node_modules/jest-haste-map/node_modules/fsevents/node_modules/needle/test/headers_spec.js,1
"Hawk
generates a header then successfully parse it then validate payload
","

        var req = {
            method: 'GET',
            url: '/resource/4?filter=a',
            host: 'example.com',
            port: 8080
        };

        credentialsFunc('123456', function (err, credentials1) {

            req.authorization = Hawk.client.header('http://example.com:8080/resource/4?filter=a', req.method, { credentials: credentials1, payload: 'hola!', ext: 'some-app-data' }).field;
            Hawk.server.authenticate(req, credentialsFunc, {}, function (err, credentials2, artifacts) {

                expect(err).to.not.exist();
                expect(credentials2.user).to.equal('steve');
                expect(artifacts.ext).to.equal('some-app-data');
                expect(Hawk.server.authenticatePayload('hola!', credentials2, artifacts)).to.be.true();
                expect(Hawk.server.authenticatePayload('hello!', credentials2, artifacts)).to.be.false();
                done();
            });
        });
    
",yashnerella/reactJs-basicsJest,https://github.com/yashnerella/reactJs-basicsJest/blob/master/node_modules/hawk/test/index.js,1
"with default options
no cookie header is set on request
","
      needle.get(
        'localhost:' + ALL_COOKIES_TEST_PORT, function(err, response) {
          should.not.exist(response.req._headers.cookie);
          done();
        });
    
",DemetriusLeonardoBantim/tdd-jest,https://github.com/DemetriusLeonardoBantim/tdd-jest/blob/master/node_modules/needle/test/cookies_spec.js,1
"Server User on Initial Page Load
it does not create a new server user with a new user
","
      cy.checkPlayerCount();
    
",TimMansell/vue-solitaire,https://github.com/TimMansell/vue-solitaire/blob/master/tests/e2e/specs/user.spec.js,0
"(key)
passes negated when the actual does not match the expected
","
      expect(wrapper.find(User).first()).to.not.have.prop('invalid')
    
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/prop.test.js,-
"------------------------------- PUT ROUTE-------------------------------
[ PUT  ] should update student name
","
    await request(server).post('/api/students/').send({
      name: 'mikko',
      cohort: 'web16',
    });
    await request(server).put('/api/students/3').send({
      name: 'new name',
    });
    const response = await request(server).get('/api/students/3');
    expect(response.body.name).toBe('new name');
  
",john2796/Server-Testing-jb,https://github.com/john2796/Server-Testing-jb/blob/master/students/student.test.js,1
"authenticate()
errors on an bad authorization attribute value
","

            var req = {
                method: 'GET',
                url: '/resource/4?filter=a',
                host: 'example.com',
                port: 8080,
                authorization: 'Hawk id=""\t"", ts=""1353788437"", nonce=""k3j4h2"", mac=""/qwS4UjfVWMcUyW6EEgUH4jlr7T/wuKe3dKijvTvSos="", ext=""hello""'
            };

            Hawk.server.authenticate(req, credentialsFunc, { localtimeOffsetMsec: 1353788437000 - Hawk.utils.now() }, function (err, credentials, artifacts) {

                expect(err).to.exist();
                expect(err.output.payload.message).to.equal('Bad attribute value: id');
                done();
            });
        
",tmtarpinian/jest_introduction,https://github.com/tmtarpinian/jest_introduction/blob/master/node_modules/hawk/test/server.js,-
"Gameboard: receiveAttack() (Check if attack is valid)
Ship with 1 length is sunk after 1 attack received
","
    const newGameboard = Gameboard(0, 8);
    const newShip = Ship(0, 1, [], false, 'horizontal');
    newGameboard.placeShip(newShip, [1, 3]);
    newGameboard.receiveAttack([1, 3]);
    expect(newShip.isSunk()).toBe(true);
    expect(newGameboard.grid[1][3]).toBe('S');
  
",martink-rsa/Battleships,https://github.com/martink-rsa/Battleships/blob/master/src/specs/gameboard.test.js,1
"proxies cookie
set cookie
","
    proxyServer = proxyTarget(12346, 100, proxyRouteFn);
    app = express();
    app.use(proxy('localhost:12346'));
  

    request(app)
      .get('/cookieTest')
      .set('Cookie', 'myApp-token=12345667')
      .end(function(err, res) {
        var cookiesMatch = res.headers['set-cookie'].filter(function(item) {
          return item.match(/myApp-token=12345667/);
        });
        assert(cookiesMatch);
        done(err);
      });
  

    proxyServer.close();
  
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/express-http-proxy/test/cookies.js,1
"HAS_POSITIVE_NUMERIC_VALUE attrs
passes negated when attribute exists but has value `""0""`
","
        expect(wrapper.find('tr')).to.not.have.attr('size')
      
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/attr.test.js,1
"()
passes negated when the actual does not match the expected
","
      expect(wrapper.find('#not')).to.not.be.disabled()
    
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/disabled.test.js,-
"unauthorized()
returns a WWW-Authenticate header when passed a scheme
","

        var err = Boom.unauthorized('boom', 'Test');
        expect(err.output.statusCode).to.equal(401);
        expect(err.output.headers['WWW-Authenticate']).to.equal('Test error=""boom""');
        done();
    
",JamieDixon/jest-tester,https://github.com/JamieDixon/jest-tester/blob/master/webapp/node_modules/boom/test/index.js,1
"authenticateMessage()
errors on invalid authorization (ts)
","

            credentialsFunc('123456', function (err, credentials1) {

                var auth = Hawk.client.message('example.com', 8080, 'some message', { credentials: credentials1 });
                delete auth.ts;

                Hawk.server.authenticateMessage('example.com', 8080, 'some message', auth, credentialsFunc, {}, function (err, credentials2) {

                    expect(err).to.exist();
                    expect(err.message).to.equal('Invalid authorization');
                    done();
                });
            });
        
",nialloc9/reactReduxJestBoilerplate,https://github.com/nialloc9/reactReduxJestBoilerplate/blob/master/node_modules/hawk/test/server.js,-
"when username/password are included in URL
sends Authorization header
","
      needle.get('foobar:jakub@localhost:' + port, opts, function(err, resp) {
        var sent_headers = resp.body.headers;
        Object.keys(sent_headers).should.containEql('authorization');
        done();
      })
    
",SidiOuld/Testing-With-Jest,https://github.com/SidiOuld/Testing-With-Jest/blob/master/node_modules/needle/test/basic_auth_spec.js,1
"valueType
returns calc from calc(100px * 2)
","
    let input = 'calc(100px * 2)';
    let output = parsers.valueType(input);

    expect(output).toEqual(parsers.TYPES.CALC);
  
",buraktelli/Backend-and-Test,https://github.com/buraktelli/Backend-and-Test/blob/master/node_modules/cssstyle/lib/parsers.test.js,1
"server
opts out of string encoding
","
            ReactDOM.render(
                <Helmet
                    encodeSpecialCharacters={false}
                    title={""This is text and & and '.""}
                />,
                container
            );

            const head = Helmet.rewind();
            expect(head.title).to.exist;
            expect(head.title).to.respondTo(""toString"");

            expect(head.title.toString()).to.equal(unEncodedStringifiedTitle);
        
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/react-helmet/test/HelmetTest.js,-
"Plus Minus
should return [""1.000000"",""0.000000"",""0.000000""] when arr is [1,1,1,1]
","
    expect(plusMinus([1, 1, 1, 1])).toEqual(['1.000000', '0.000000', '0.000000']);
  
",YannickLeRoux/tdd-katas-typescript,https://github.com/YannickLeRoux/tdd-katas-typescript/blob/master/plus-minus/src/plus-minus.test.js,1
"middleware compatibility
should stringify req.body when it is a json body so it is written to proxy request
","
    proxyServer = proxyTarget(12346, 100, proxyRouteFn);
  

    var app = express();
    app.use(bodyParser.json());
    app.use(bodyParser.urlencoded({
      extended: false
    }));
    app.use(proxy('localhost:12346'));
    request(app)
      .post('/poster')
      .send({
        mypost: 'hello',
        doorknob: 'wrect'
      })
      .expect(function(res) {
        assert.equal(res.body.doorknob, 'wrect');
        assert.equal(res.body.mypost, 'hello');
      })
      .end(done);
  

    proxyServer.close();
  
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/express-http-proxy/test/middlewareCompatibility.js,1
"core
should generate a header protocol example (with payload)
","

            var header = Hawk.client.header('http://example.com:8000/resource/1?b=1&a=2', 'POST', payloadOptions).field;

            expect(header).to.equal('Hawk id=""dh37fgj492je"", ts=""1353832234"", nonce=""j4h3g2"", hash=""Yi9LfIIFRtBEPt74PVmbTF/xVAwPn7ub15ePICfgnuY="", ext=""some-app-ext-data"", mac=""aSe1DERmZuRl3pI36/9BdZmnErTw3sNzOOAUlfeKjVw=""');
            done();
        
",lammypham/front-end-testing,https://github.com/lammypham/front-end-testing/blob/master/node_modules/fsevents/node_modules/hawk/test/readme.js,1
"authenticate()
errors on invalid credentials (id)
","

            var req = {
                method: 'GET',
                url: '/resource/4?filter=a',
                host: 'example.com',
                port: 8080,
                authorization: 'Hawk id=""123"", ts=""1353788437"", nonce=""k3j4h2"", mac=""/qwS4UjfVWMcUyW6EEgUH4jlr7T/wuKe3dKijvTvSos="", ext=""hello""'
            };

            var credentialsFuncion = function (id, callback) {

                var credentials = {
                    key: 'werxhqb98rpaxn39848xrunpaw3489ruxnpa98w4rxn',
                    user: 'steve'
                };

                return callback(null, credentials);
            };

            Hawk.server.authenticate(req, credentialsFuncion, { localtimeOffsetMsec: 1353788437000 - Hawk.utils.now() }, function (err, credentials, artifacts) {

                expect(err).to.exist();
                expect(err.message).to.equal('Invalid credentials');
                expect(err.output.payload.message).to.equal('An internal server error occurred');
                done();
            });
        
",tmtarpinian/jest_introduction,https://github.com/tmtarpinian/jest_introduction/blob/master/node_modules/hawk/test/server.js,1
"getSecretWord action creator
adds response word to state
","
    moxios.install();
  

    const secretWord = ""party"";
    const store = storeFactory();

    moxios.wait(() => {
      const request = moxios.requests.mostRecent();
      request.respondWith({
        status: 200,
        response: secretWord
      });
    });

    return store.dispatch(getSecretWord()).then(() => {
      const newState = store.getState();
      expect(newState.secretWord).toBe(secretWord);
    });
  

    moxios.uninstall();
  
",alexsjcho/jotto-react-jest-enyzme-testing,https://github.com/alexsjcho/jotto-react-jest-enyzme-testing/blob/master/src/actions/index.test.js,1
"accept
should not throw and return true if file is empty or null
","
    expect(() => {
      accept({})
      accept({}, 'text/html')
      accept({}, '*.png')
      accept({}, 'image/*')

      accept(null)
      accept(null, 'text/html')
      accept(null, '*.png')
      accept(null, 'image/*')
    }).toNotThrow()
  
",jackyyap/jestecmern,https://github.com/jackyyap/jestecmern/blob/master/backend/node_modules/attr-accept/test/index.js,1
"onLinksUpdated function
should not pass when source diamond and target default ports are both out ports
","
      jest.useFakeTimers();
      const { component } = setup(false, false);
      const { showWarning, updateLoading } = component.props();
      const instance = component.dive().instance();
      const sourcePort = new DiamondPortModel('top', false, '');
      const targetPort = new DefaultDataPortModel(false, '');
      instance.onLinksUpdated({
        link: { sourcePort, targetPort }
      });
      expect(showWarning).toHaveBeenCalledTimes(1);
      expect(updateLoading).toHaveBeenCalledWith(false);
      expect(setTimeout).not.toHaveBeenCalled();
    
",Sean2108/LATTE,https://github.com/Sean2108/LATTE/blob/master/test/components/BuildDiagram.spec.js,1
"nonNegativeInteger
fails on negative numbers
","
    assertFails(_.nonNegativeInteger, /*#__PURE__*/_react[""default""].createElement(""div"", {
      a: -1
    }), 'a');
    assertFails(_.nonNegativeInteger, /*#__PURE__*/_react[""default""].createElement(""div"", {
      a: -42
    }), 'a');
  
",Sunnypahuja/jest-enzyme,https://github.com/Sunnypahuja/jest-enzyme/blob/master/node_modules/airbnb-prop-types/build-test/nonNegativeInteger.js,1
"valueType
returns color for rgba(n, n, n, n) with decimal alpha
","
    let input = 'rgba(10, 10, 10, 0.5)';
    let output = parsers.valueType(input);

    expect(output).toEqual(parsers.TYPES.COLOR);
  
",rmoramo1/Unit-Test-With-Jest,https://github.com/rmoramo1/Unit-Test-With-Jest/blob/master/node_modules/cssstyle/lib/parsers.test.js,1
"nodeIsSufficient(node)
returns false if node text length < 100 chars
","
      const $ = cheerio.load(HTML.tooShort);
      const sufficient = nodeIsSufficient($.root());
      assert.equal(sufficient, false);
    
",postlight/mercury-parser,https://github.com/postlight/mercury-parser/blob/master/src/utils/dom/node-is-sufficient.test.js,1
"regular attrs
passes negated when attribute exists but has value `null`
","
        expect(wrapper.find('audio')).to.not.have.attr('spellcheck')
        expect(wrapper.find('audio')).to.not.have.attr('spellCheck')
      
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/attr.test.js,0
"Logger
should log a Warning Message
","
            var flow = [{id: ""n1"", type: ""function"", wires: [[""n2""]], func: ""node.warn('test');""}];
            helper.load(functionNode, flow, function () {
                var n1 = helper.getNode(""n1"");
                n1.receive({payload: ""foo"", topic: ""bar""});
                try {
                    helper.log().called.should.be.true();
                    var logEvents = helper.log().args.filter(function (evt) {
                        return evt[0].type == ""function"";
                    });
                    logEvents.should.have.length(1);
                    var msg = logEvents[0][0];
                    msg.should.have.property('level', helper.log().WARN);
                    msg.should.have.property('id', 'n1');
                    msg.should.have.property('type', 'function');
                    msg.should.have.property('msg', 'test');
                    done();
                } catch (err) {
                    done(err);
                }
            });
        
",crudaz/mongodb-testing,https://github.com/crudaz/mongodb-testing/blob/master/node_modules/node-red-node-test-helper/examples/function_spec.js,-
"runAllTimers
only runs a setTimeout callback once (ever)
","
      const global = {process};
      const timers = new FakeTimers(global, moduleMocker);
      timers.useFakeTimers();

      const fn = jest.genMockFn();
      global.setTimeout(fn, 0);
      expect(fn.mock.calls.length).toBe(0);

      timers.runAllTimers();
      expect(fn.mock.calls.length).toBe(1);

      timers.runAllTimers();
      expect(fn.mock.calls.length).toBe(1);
    
",git-palace/jest,https://github.com/git-palace/jest/blob/master/packages/jest-util/src/__tests__/FakeTimers-test.js,1
"mediaQueries
should have an ""xxl"" breakpoint
","
    const Div = styled.div`
      ${mq.s`content: ""test"";`};
    `;
    const renderedComponent = shallow(<Div />);
    expect(toJson(renderedComponent)).toMatchSnapshot();
  
",Mensae/portfolio-react-boilerplate,https://github.com/Mensae/portfolio-react-boilerplate/blob/master/app/styles/templates/tests/mediaQueries.test.js,0
"Combinators
.yieldSelf - allows an inline block to receive a named expression result
","
  expect(yieldSelf(3 + 3)(sum => sum * 2)).toEqual(12)

",axehomeyg/jest-marmot,https://github.com/axehomeyg/jest-marmot/blob/master/__tests__/utility.test.js,-
